brand,category,condition,description,posted,price,seller_name,shipping,sold
Disney,"Other,Books,Children's books,Disney Children's Books",New,"Vintage Disney read along cassettes, books and carrying bag
BRAND NEW! 
• Double sided tapes
• carrying case 
•  5 books :
Includes these stories in 5 books and on 3 tapes. 
- Disney books: The jungle book, The Aristocats, Tarzan, The fox and the Hou",10/18/18,$15,BikiniTime,$8.00 | 2+ days | from California,SOLD
Spin Master,"Other,Books,Children's books,Spin Master Children's Books",New,"Brand new. Use on your mobile phone, 5 stories",10/18/18,$17,Tcherubin,$4.25 | 3+ days | from Georgia,SOLD
HarperCollins Publishers,"Other,Books,Children's books,HarperCollins Publishers Children's Books",Like new,The Most Amazing Science Pop Up Book is in great condition!,10/18/18,$15,Kcasey46,Free | from Illinois,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Combined 3 old listings of books to make 1 huge bundle!!! Over 30 books!!!! 


Just found 2 more books to add to the bundle

Unisex, language, literature, school age, elementary, library, read, reading, adventure, mystery, boy, girl, Unisex, learning",10/12/18,$12,#BlackPicketFence,$8.00 | 2+ days | from Missouri,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Lot of all 9 books, as pictured. A perfect collection of Thanksgiving stories for young children. Lot includes some lift-a-flap books. Great for the younger age group, preschool / kindergarten and up!  

Excellent used condition, some books are in al",10/20/18,$13,UpintheAttic,Free | from Connecticut,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"11 Book Lot Of Spy University Books. All are gently owned and are good to very good condition with No writing,rips or ,tears or highlighting.",10/21/18,$16,Classysunshine,Free | 2+ days | from Virginia,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,Reads to your child. Adjustable volume. Comes with 4 books and the cartridges for them and the directions for use. Uses 4 AAA batteries.,10/22/18,$12,Wendy,$8.00 | 2+ days | from Pennsylvania,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,"Bundle of 8 Little Golden Books 
1- 101 Dalmatians
2- 101 Dalmatians snow puppies
3- Donald Duck's story sailboat
4- Poky little puppy's special day
5- Rescuers down under
6- The missing wedding dress featuring Barbie
7- Beauty in the beast the encha",10/26/18,$7,doigotthedeals,Free | from Ohio,SOLD
Pokemon,"Other,Books,Children's books,Pokemon Children's Books",Like new,New pokemon handbook! 100's of pokemon info in this book! I have listed as 'like new' but it is BRAND NEW in mint condition. Never used... sat on a shelf without being used.  Smoke free pet free home.,10/26/18,$15,Fbredek,Free | 2+ days | from Wisconsin,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Fair,"This is a of 39 books total. All books are vintage and from 80’s and 90’s.  They do have some reading wear, age wear and storage wear.  All books are pictured from front to back.  

It includes 33 Babysitters club books, 4 sweet valley high books and",10/27/18,$35,Allforagoodprice,Free | from Georgia,SOLD
American Girl,"Other,Books,Children's books,American Girl Children's Books",Good,All 6 books. Good condition.,10/29/18,$20,Alicia Rose Coughey,$6.50 | 3+ days | from Pennsylvania,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Like new,"Like new condition with read along Cd. Just trying to make some space. Don’t like the price make me a reasonable offer! Please remember shipping is included in price :) Check out my lots for many other DVDS, books, collectibles and more.

Bundled wit",11/01/18,$25,Paradiseisland,Free | from Florida,SOLD
American Girl,"Other,Books,Children's books,American Girl Children's Books",Good,"Books are clean inside, covers and backs shown some dirt and use. Good condition, perfectly readable! All postcards intact in back of the books. Smoke free home

Fantastic for older kids, American girl doll fans.",10/28/18,$17,Nap1218,Free | from Rhode Island,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"POST IS RESERVED FOR KALI!
Shipping included in price.",11/01/18,$15,sprinkled.w.love,Free | from Arkansas,SOLD
Publications International,"Other,Books,Children's books,Publications International Children's Books",Good,On The Farm First Look And Find,11/02/18,$6,C-A-N-D-I-C-E,$4.25 | 3+ days | from Minnesota,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Childrens massive book lot of 29 books! what you see is exactly what you get. various conditions. all have been checked over for moderate to major wear.
may have a ripped page or colorings. nothing that changes integrity of any of the books.
perfect ",11/03/18,$25,VanessaCara,Free | from North Carolina,SOLD
Dr. Seuss,"Other,Books,Children's books,Dr. Seuss Children's Books",Good,Set of three mini board books by Dr. Seuss.,11/04/18,$8,Make Me An Offer XO,Free | 3+ days | from Kansas,SOLD
Random House,"Other,Books,Children's books,Random House Children's Books",New,"Dr Seuss 
New book
Originally $14.99",11/04/18,$8,Cherrier25,Free | from Missouri,SOLD
Viking,"Other,Books,Children's books,Viking Children's Books",Good,"Christmas Books
Lot of 5
Children books
Polar Express
The Spirit of Christmas
Angelina's Christmas
Angelina Ballerina 
Silent Night Holiday Coloring Book
Great time of the year to grab these for the Christmas Holidays!",11/05/18,$8,Sell It Like It Is,$9.80 | 3+ days | from Mississippi,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,Book is in like new condition,11/07/18,$10,Loretta Lege,Free | 3+ days | from Louisiana,SOLD
Crayola,"Other,Books,Children's books,Crayola Children's Books",New,"Crayola Basic Skills Activity Books

Make learning fun with Crayola®! Full-color pages feature fun activities with easy-to-follow directions and help reinforce preschool and early elementary school skills like phonics, math, reading, and more. Great ",11/07/18,$21,Adela,Free | from Massachusetts,SOLD
Sesame Street,"Other,Books,Children's books,Sesame Street Children's Books",New,"Brand New in Packaging 
Sesame Street Alphabet Foam Floor Puzzle 
Plus Four (4) Board Books",11/07/18,$8,danaMbrown,$4.25 | 3+ days | from Pennsylvania,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,Smoke free hm smoke free hm,11/10/18,$9,Memphis,$4.25 | 3+ days | from Virginia,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Used in good collection of 5 graphic novels includes Kristys Great idea
The truth about Stacey
Mary Anne saves the day
Claudia and mean Janine
And Dawn and the impossible three
 2 are the in color versions and 3 of them are the original black in whit",11/12/18,$20,Disneycollector16,$8.00 | 2+ days | from Georgia,SOLD
Elf on the Shelf,"Other,Books,Children's books,Elf on the Shelf Children's Books",New,"Hardcover book only. Elf On the Shelf, a Christmas Tradition. In New condition. 
Have a look at my shop, I have lots of other items you can bundle with this for a discount.",11/13/18,$8,Carriebella,$4.25 | 3+ days | from North Carolina,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,There are 27 paperback books by Barbara Park all are the Junie b series there are 27 books. The books are in excellent condition they almost look fresh off the store shelf. I did a quick flip through of each book and see no writing or torn pages or b,11/13/18,$52,Toddlyoddly,Free | from Florida,SOLD
Hallmark,"Other,Books,Children's books,Hallmark Children's Books",New,"Recordable Story Book, happy feet two.",11/15/18,$13,Sophisticated87,$4.25 | 3+ days | from Florida,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"10 rainbow magic books by Daisy meadows 
Megan the Monday fairy
Bethany the ballet fairy 
Leona the unicorn fairy 
Danni the drum fairy 
Maya the harp fairy
Inky the indigo fairy 
Tara the Tuesday fairy
Poppy the piano fairy 
Victoria the violin fair",11/16/18,$20,Jenn’s Attic,Free | 2+ days | from Virginia,SOLD
Dr. Seuss,"Other,Books,Children's books,Dr. Seuss Children's Books",New,Dr. Seuss poster. Dr. Seuss poster is approximately 24” long by 18.5” wide.,11/12/18,$7,MaryT,$4.25 | 2+ days | from California,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Included in this lot are:
1. Barbie and the magic of Pegasus- no writing or ripped pages
2. Barbie fairytopia mermaidia- no writing or ripped pages 
3. Barbie as the island princess- no writing or ripped pages
4. Barbie the mystery of the jeweled mas",11/17/18,$12,Sue,Free | from Massachusetts,SOLD
Minnie Mouse,"Other,Books,Children's books,Minnie Mouse Children's Books",Like new,"3 Hardback Books 
Best friends sleepover 
Minnie’s surprise 
Picture perfect pets",11/19/18,$8,Wendy,Free | from North Carolina,SOLD
HarperCollins Publishers,"Other,Books,Children's books,HarperCollins Publishers Children's Books",Good,"Fancy Nancy Splendiferous Christmas 
Large hardcover",11/20/18,$8,twoarrowsbookclub,Free | from California,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,"Magic tree house box set 1-48
In great condition, only 1-6 look used
Scholastic 
1-6 have “Raulston’s books” inside them 
$2.60 each",11/19/18,$110,J,$13.00 | 2+ days | from Tennessee,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,Disney Animal Friends Movie Theater hardcover Storybook & small plastic Projector Set. See all pictures to view photos of actual item. Projector is functional (see pics) Operates on 2x AA batteries (not included). Book is fully in tact. Pages do not ,11/19/18,$18,Love To Shop,Free | from New York,SOLD
Hallmark,"Other,Books,Children's books,Hallmark Children's Books",New,"The Night Before Christmas Recordable Storybook. This is truly a keepsake item. Record a loved one reading this book (for example your  child in their sweet little voice, a grandparent who loves far away or a parent who travels often. Just a few idea",11/15/18,$23,sabgobin,Free | 3+ days | from Florida,SOLD
Reader's Digest,"Other,Books,Children's books,Reader's Digest Children's Books",Good,"13 Sesame Street vintage hardback books
Really nice condition, minimal wear
Great vintage collection",11/24/18,$16,Merch,$9.80 | 3+ days | from New Jersey,SOLD
Nickelodeon,"Other,Books,Children's books,Nickelodeon Children's Books",Good,This listing is for Nickelodeon’s Dora the Explorer Merry Christmas Busy Books Play Set. It is in good condition. There is price tag residue on the binding and back cover. The play mat is in great shape. Includes 14 figures (2 more than what came wit,11/25/18,$15,selling4jay,Free | from Washington,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"This listing is for the paperback book “If You Take A Mouse To The Movies” by Laura Numeroff. It’s in good condition. There’s a mark on one page and slight scratches and/or dings on the covers.

Please look at the pictures carefully as they are a par",11/27/18,$5,selling4jay,Free | from Washington,SOLD
Hallmark,"Other,Books,Children's books,Hallmark Children's Books",New,Brand new never used. Hallmark frosty the snowman recordable storybook.,11/26/18,$20,Brianne Perez,Free | from Texas,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,"Sam Gribley is terribly unhappy living in New York City with his family, so he runs away to the Catskill Mountains to live in the woods—all by himself. With only a penknife, a ball of cord, forty dollars, and some flint and steel, he intends to survi",12/03/18,$5,**The Browser Shop**,Free | from New York,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Huge Geronimo Stilton Lot

113 Hardcover and Paperback Books

Multiple Series included

Space Mice, Cave Mice, Hero Mice, Journey through Time, Thea Stilton, Mouseford Academy ,Creepella, Mice Kings, Kingdom of Fantasy, The Hunt and more.

This lot w",12/03/18,$300,Stephanie D. Barbe,Free | from Virginia,SOLD
Hallmark,"Other,Books,Children's books,Hallmark Children's Books",New,Brand new never used. Hallmark frosty the snowman recordable storybook.,12/04/18,$20,Brianne Perez,Free | from Texas,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"The Magic School Bus Bundle 
Set of 4
Paperback books",12/05/18,$10,twoarrowsbookclub,Free | from California,SOLD
American Girl,"Other,Books,Children's books,American Girl Children's Books",Good,Set of six books in good condition,12/05/18,$13,JZMomma,Free | 2+ days | from Alabama,SOLD
